Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Temp_difference,Power,Wear_Torque,Wear_Power
,298.1,308.6,1551,42.8,0,0,0,0,0,0,0,10.5,66382.79999999999,0.0,0.0
,298.2,308.7,1408,46.3,3,0,0,0,0,0,0,10.5,65190.399999999994,138.89999999999998,195571.19999999998
,298.1,308.5,1498,49.4,5,0,0,0,0,0,0,10.399999999999977,74001.2,247.0,370006.0
,298.2,308.6,1433,39.5,7,0,0,0,0,0,0,10.400000000000034,56603.5,276.5,396224.5
,298.2,308.7,1408,40.0,9,0,0,0,0,0,0,10.5,56320.0,360.0,506880.0
,298.1,308.6,1425,41.9,11,0,0,0,0,0,0,10.5,59707.5,460.9,656782.5
,298.1,308.6,1558,42.4,14,0,0,0,0,0,0,10.5,66059.2,593.6,924828.7999999999
,298.1,308.6,1527,40.2,16,0,0,0,0,0,0,10.5,61385.4,643.2,982166.4
,298.3,308.7,1667,28.6,18,0,0,0,0,0,0,10.399999999999977,47676.200000000004,514.8000000000001,858171.6000000001
,298.5,309.0,1741,28.0,21,0,0,0,0,0,0,10.5,48748.0,588.0,1023708.0
,298.4,308.9,1782,23.9,24,0,0,0,0,0,0,10.5,42589.799999999996,573.5999999999999,1022155.2
,298.6,309.1,1423,44.3,29,0,0,0,0,0,0,10.5,63038.899999999994,1284.6999999999998,1828128.0999999999
,298.6,309.1,1339,51.1,34,0,0,0,0,0,0,10.5,68422.90000000001,1737.4,2326378.6
,298.6,309.2,1742,30.0,37,0,0,0,0,0,0,10.599999999999966,52260.0,1110.0,1933620.0
,298.6,309.2,2035,19.6,40,0,0,0,0,0,0,10.599999999999966,39886.0,784.0,1595440.0
,298.6,309.2,1542,48.4,42,0,0,0,0,0,0,10.599999999999966,74632.8,2032.8,3134577.6
,298.6,309.2,1311,46.6,44,0,0,0,0,0,0,10.599999999999966,61092.6,2050.4,2688074.4
,298.7,309.2,1410,45.6,47,0,0,0,0,0,0,10.5,64296.0,2143.2000000000003,3021912.0
,298.8,309.2,1306,54.5,50,0,0,0,0,0,0,10.399999999999977,71177.0,2725.0,3558850.0
,298.9,309.3,1632,32.5,55,0,0,0,0,0,0,10.400000000000034,53040.0,1787.5,2917200.0
,298.9,309.3,1375,42.7,58,0,0,0,0,0,0,10.400000000000034,58712.50000000001,2476.6000000000004,3405325.0000000005
,298.8,309.3,1450,44.8,63,0,0,0,0,0,0,10.5,64959.99999999999,2822.3999999999996,4092479.9999999995
,298.9,309.3,1581,30.7,65,0,0,0,0,0,0,10.400000000000034,48536.7,1995.5,3154885.5
,299.0,309.4,1758,25.7,68,0,0,0,0,0,0,10.399999999999977,45180.6,1747.6,3072280.8
,299.0,309.4,1561,37.3,70,0,0,0,0,0,0,10.399999999999977,58225.299999999996,2611.0,4075770.9999999995
,299.0,309.5,1861,23.3,73,0,0,0,0,0,0,10.5,43361.3,1700.9,3165374.9000000004
,299.1,309.5,1512,39.0,75,0,0,0,0,0,0,10.399999999999977,58968.0,2925.0,4422600.0
,299.1,309.4,1811,24.6,77,0,0,0,0,0,0,10.299999999999955,44550.600000000006,1894.2,3430396.2000000007
,299.1,309.4,1439,44.2,82,0,0,0,0,0,0,10.299999999999955,63603.8,3624.4,5215511.600000001
,299.0,309.4,1693,30.1,84,0,0,0,0,0,0,10.399999999999977,50959.3,2528.4,4280581.2
,299.1,309.5,1339,48.2,86,0,0,0,0,0,0,10.399999999999977,64539.8,4145.2,5550422.8
,299.0,309.4,1798,25.5,89,0,0,0,0,0,0,10.399999999999977,45849.0,2269.5,4080561.0
,299.0,309.4,1419,48.3,91,0,0,0,0,0,0,10.399999999999977,68537.7,4395.3,6236930.7
,298.9,309.3,1665,32.5,93,0,0,0,0,0,0,10.400000000000034,54112.5,3022.5,5032462.5
,298.8,309.1,1559,34.7,95,0,0,0,0,0,0,10.300000000000011,54097.3,3296.5000000000005,5139243.5
,298.8,309.2,1452,48.6,98,0,0,0,0,0,0,10.399999999999977,70567.2,4762.8,6915585.6
,298.9,309.2,1581,36.7,101,0,0,0,0,0,0,10.300000000000011,58022.700000000004,3706.7000000000003,5860292.7
,298.8,309.1,1439,39.2,104,0,0,0,0,0,0,10.300000000000011,56408.8,4076.8,5866515.2
,298.9,309.2,1379,50.7,106,0,0,0,0,0,0,10.300000000000011,69915.3,5374.200000000001,7411021.800000001
,298.8,309.1,1350,52.5,111,0,0,0,0,0,0,10.300000000000011,70875.0,5827.5,7867125.0
,298.8,309.1,1362,45.4,113,0,0,0,0,0,0,10.300000000000011,61834.799999999996,5130.2,6987332.399999999
,298.8,309.1,1368,50.8,115,0,0,0,0,0,0,10.300000000000011,69494.4,5842.0,7991855.999999999
,298.8,309.1,1368,49.1,117,0,0,0,0,0,0,10.300000000000011,67168.8,5744.7,7858749.600000001
,298.8,309.2,1372,48.5,120,0,0,0,0,0,0,10.399999999999977,66542.0,5820.0,7985040.0
,298.8,309.1,1472,47.5,125,0,0,0,0,0,0,10.300000000000011,69920.0,5937.5,8740000.0
,298.8,309.1,1489,49.1,128,0,0,0,0,0,0,10.300000000000011,73109.90000000001,6284.8,9358067.200000001
,298.7,309.0,1843,25.8,130,0,0,0,0,0,0,10.300000000000011,47549.4,3354.0,6181422.0
,298.8,309.1,1418,46.3,133,0,0,0,0,0,0,10.300000000000011,65653.4,6157.9,8731902.2
,298.8,309.2,1425,53.9,135,0,0,0,0,0,0,10.399999999999977,76807.5,7276.5,10369012.5
,298.9,309.2,1412,44.1,140,0,0,0,0,0,0,10.300000000000011,62269.200000000004,6174.0,8717688.0
,298.9,309.1,2861,4.6,143,1,0,0,1,0,0,10.200000000000045,13160.599999999999,657.8,1881965.7999999998
,298.9,309.1,1383,54.9,145,0,0,0,0,0,0,10.200000000000045,75926.7,7960.5,11009371.5
,298.8,309.0,1497,43.8,147,0,0,0,0,0,0,10.199999999999989,65568.59999999999,6438.599999999999,9638584.2
,298.7,309.0,1565,35.1,152,0,0,0,0,0,0,10.300000000000011,54931.5,5335.2,8349588.0
,298.7,309.0,1691,30.1,154,0,0,0,0,0,0,10.300000000000011,50899.100000000006,4635.400000000001,7838461.400000001
,298.8,309.1,1512,40.7,156,0,0,0,0,0,0,10.300000000000011,61538.4,6349.200000000001,9599990.4
,298.8,309.1,1477,42.4,158,0,0,0,0,0,0,10.300000000000011,62624.799999999996,6699.2,9894718.399999999
,298.8,309.1,1513,40.3,160,0,0,0,0,0,0,10.300000000000011,60973.899999999994,6448.0,9755824.0
,298.8,309.0,1661,29.5,162,0,0,0,0,0,0,10.199999999999989,48999.5,4779.0,7937919.0
,298.8,309.1,1378,54.4,165,0,0,0,0,0,0,10.300000000000011,74963.2,8976.0,12368928.0
,298.8,309.1,1393,52.6,167,0,0,0,0,0,0,10.300000000000011,73271.8,8784.2,12236390.6
,298.8,309.0,1592,38.2,169,0,0,0,0,0,0,10.199999999999989,60814.4,6455.8,10277633.6
,298.8,309.0,1829,22.9,172,0,0,0,0,0,0,10.199999999999989,41884.1,3938.7999999999997,7204065.2
,298.9,309.0,1812,25.9,174,0,0,0,0,0,0,10.100000000000023,46930.799999999996,4506.599999999999,8165959.199999999
,299.0,309.1,1523,38.6,177,0,0,0,0,0,0,10.100000000000023,58787.8,6832.2,10405440.6
,299.0,309.1,1394,45.1,179,0,0,0,0,0,0,10.100000000000023,62869.4,8072.900000000001,11253622.6
,298.9,308.9,1679,28.7,181,0,0,0,0,0,0,10.0,48187.299999999996,5194.7,8721901.299999999
,298.8,308.9,1466,44.1,184,0,0,0,0,0,0,10.099999999999966,64650.6,8114.400000000001,11895710.4
,298.8,308.9,1527,32.4,189,0,0,0,0,0,0,10.099999999999966,49474.799999999996,6123.599999999999,9350737.2
,298.9,309.0,1410,65.7,191,1,0,0,1,1,0,10.100000000000023,92637.0,12548.7,17693667.0
,298.9,309.0,1924,22.6,193,0,0,0,0,0,0,10.100000000000023,43482.4,4361.8,8392103.200000001
,298.9,309.1,1452,45.5,196,0,0,0,0,0,0,10.200000000000045,66066.0,8918.0,12948936.0
,298.9,309.1,1369,44.4,198,0,0,0,0,0,0,10.200000000000045,60783.6,8791.199999999999,12035152.799999999
,299.0,309.1,1592,35.0,200,0,0,0,0,0,0,10.100000000000023,55720.0,7000.0,11144000.0
,298.9,309.0,1601,32.3,202,0,0,0,0,0,0,10.100000000000023,51712.299999999996,6524.599999999999,10445884.6
,298.8,308.9,1379,46.7,204,0,0,0,0,0,0,10.099999999999966,64399.3,9526.800000000001,13137457.200000001
,298.8,308.9,1461,47.9,206,0,0,0,0,0,0,10.099999999999966,69981.9,9867.4,14416271.399999999
,298.8,308.9,1455,41.3,208,1,1,0,0,0,0,10.099999999999966,60091.49999999999,8590.4,12499031.999999998
,298.8,308.9,1398,51.5,0,0,0,0,0,0,0,10.099999999999966,71997.0,0.0,0.0
,298.8,308.9,1402,37.9,2,0,0,0,0,0,0,10.099999999999966,53135.799999999996,75.8,106271.59999999999
,298.8,308.8,1445,49.9,4,0,0,0,0,0,0,10.0,72105.5,199.6,288422.0
,298.9,308.9,1450,47.5,9,0,0,0,0,0,0,10.0,68875.0,427.5,619875.0
,298.9,308.9,1453,40.8,11,0,0,0,0,0,0,10.0,59282.399999999994,448.79999999999995,652106.3999999999
,299.0,309.0,1469,40.1,13,0,0,0,0,0,0,10.0,58906.9,521.3000000000001,765789.7000000001
,298.9,308.9,1422,47.6,15,0,0,0,0,0,0,10.0,67687.2,714.0,1015308.0
,299.0,309.0,1804,26.8,17,0,0,0,0,0,0,10.0,48347.200000000004,455.6,821902.4
,299.0,309.0,1436,43.9,20,0,0,0,0,0,0,10.0,63040.4,878.0,1260808.0
,299.0,309.0,1544,31.8,25,0,0,0,0,0,0,10.0,49099.200000000004,795.0,1227480.0
,299.0,309.0,1419,45.2,27,0,0,0,0,0,0,10.0,64138.8,1220.4,1731747.6
,298.9,308.9,1487,39.5,30,0,0,0,0,0,0,10.0,58736.5,1185.0,1762095.0
,298.9,308.9,1753,25.8,33,0,0,0,0,0,0,10.0,45227.4,851.4,1492504.2
,298.9,308.9,1830,24.9,35,0,0,0,0,0,0,10.0,45567.0,871.5,1594845.0
,298.9,308.9,1727,27.1,37,0,0,0,0,0,0,10.0,46801.700000000004,1002.7,1731662.9000000001
,299.1,309.0,1450,43.0,40,0,0,0,0,0,0,9.899999999999977,62350.0,1720.0,2494000.0
,299.0,308.9,1622,31.9,42,0,0,0,0,0,0,9.899999999999977,51741.799999999996,1339.8,2173155.5999999996
,299.0,309.0,1351,52.2,44,0,0,0,0,0,0,10.0,70522.2,2296.8,3102976.8
,299.0,309.0,1575,35.3,47,0,0,0,0,0,0,10.0,55597.49999999999,1659.1,2613082.4999999995
,298.9,308.9,1750,29.9,50,0,0,0,0,0,0,10.0,52325.0,1495.0,2616250.0
,298.9,308.8,1529,32.7,53,0,0,0,0,0,0,9.900000000000034,49998.3,1733.1000000000001,2649909.9000000004
,298.8,308.8,1523,44.4,55,0,0,0,0,0,0,10.0,67621.2,2442.0,3719166.0
,298.8,308.9,1852,25.0,57,0,0,0,0,0,0,10.099999999999966,46300.0,1425.0,2639100.0
,298.8,308.8,1991,20.7,59,0,0,0,0,0,0,10.0,41213.7,1221.3,2431608.3
,298.8,308.8,1555,40.6,61,0,0,0,0,0,0,10.0,63133.0,2476.6,3851113.0
,298.8,308.8,1441,40.5,63,0,0,0,0,0,0,10.0,58360.5,2551.5,3676711.5
,298.8,308.7,1450,43.4,66,0,0,0,0,0,0,9.899999999999977,62930.0,2864.4,4153380.0
,298.8,308.7,1591,31.1,68,0,0,0,0,0,0,9.899999999999977,49480.100000000006,2114.8,3364646.8000000003
